plan_id,机构,质评项目组,质评原写法,项目库标准名,匹配方式,是否已录入成绩,风险标记
41,北京市,常规化学A,血糖,葡萄糖,exact,否,安全可改
41,北京市,常规化学A,铜离子,铜,exact,否,安全可改
41,北京市,常规化学A,血清锌,锌,exact,否,安全可改
43,北京市,常规化学A,钙,总钙,exact,否,安全可改
43,北京市,常规化学A,磷,无机磷,exact,否,安全可改
43,北京市,常规化学A,血糖,葡萄糖,exact,否,安全可改
43,北京市,常规化学A,铜离子,铜,exact,否,安全可改
43,北京市,常规化学A,血清锌,锌,exact,否,安全可改
44,北京市,D-二聚体和纤维蛋白降解产物检测,D-Dimer,血浆D-二聚体,exact,否,安全可改
45,北京市,D-二聚体和纤维蛋白降解产物检测,D-Dimer,血浆D-二聚体,exact,否,安全可改
56,卫健委,感染性疾病血清学标志物系列A,HBeAg,乙型肝炎病毒e抗原,exact,否,安全可改
56,卫健委,感染性疾病血清学标志物系列A,HBeAb,乙型肝炎病毒e抗体,exact,否,安全可改
57,卫健委,感染性疾病血清学标志物系列A,HBeAg,乙型肝炎病毒e抗原,exact,否,安全可改
57,卫健委,感染性疾病血清学标志物系列A,HBeAb,乙型肝炎病毒e抗体,exact,否,安全可改
58,卫健委,感染性疾病血清学标志物系列B,HEV-IgM,戊肝抗体IgM抗体,exact,否,安全可改
59,卫健委,感染性疾病血清学标志物系列B,HEV-IgM,戊肝抗体IgM抗体,exact,否,安全可改
65,卫健委,内分泌,B12,维生素B12,exact,否,安全可改
65,卫健委,内分泌,ACTH,促肾上腺皮质激素（ACTH）,exact,否,安全可改
65,卫健委,内分泌,VD,维生素D,exact,否,安全可改
66,卫健委,内分泌,B12,维生素B12,exact,否,安全可改
66,卫健委,内分泌,ACTH,促肾上腺皮质激素（ACTH）,exact,否,安全可改
66,卫健委,内分泌,VD,维生素D,exact,否,安全可改
69,卫健委,肝纤维化血清学指标,三型前胶原N末端肽(PⅢNP),三型前胶原N末端肽,substring,否,安全可改
70,卫健委,肝纤维化血清学指标,三型前胶原N末端肽(PⅢNP),三型前胶原N末端肽,substring,否,安全可改
76,卫健委,优生优育免疫学测定,HSV-1 M,I型单纯疱疹病毒IgM抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,HSV-1 G,I型单纯疱疹病毒IgG抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,HSV-2 M,II型单纯疱疹病毒IgM抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,HSV-2 G,II型单纯疱疹病毒IgG抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,TOX M,弓形虫IgM抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,TOX G,弓形虫IgG抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,CMV M,巨细胞病毒IgM抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,CMV G,巨细胞病毒IgG抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,RV M,风疹病毒IgM抗体,exact,否,安全可改
76,卫健委,优生优育免疫学测定,RV G,风疹病毒IgG抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,HSV-1 M,I型单纯疱疹病毒IgM抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,HSV-1 G,I型单纯疱疹病毒IgG抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,HSV-2 M,II型单纯疱疹病毒IgM抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,HSV-2 G,II型单纯疱疹病毒IgG抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,TOX M,弓形虫IgM抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,TOX G,弓形虫IgG抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,CMV M,巨细胞病毒IgM抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,CMV G,巨细胞病毒IgG抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,RV M,风疹病毒IgM抗体,exact,否,安全可改
77,卫健委,优生优育免疫学测定,RV G,风疹病毒IgG抗体,exact,否,安全可改
78,卫健委,感染性疾病抗原抗体快速检测,HIV（胶体金）,快速抗HIV抗体,exact,否,安全可改
79,卫健委,感染性疾病抗原抗体快速检测,HIV（胶体金）,快速抗HIV抗体,exact,否,安全可改
80,卫健委,肿瘤标志物A,β2微球蛋白,β2-微球蛋白,exact,否,安全可改
81,卫健委,肿瘤标志物A,β2微球蛋白,β2-微球蛋白,exact,否,安全可改
82,北京市,感染性疾病抗原抗体快速检测,HIV（胶体金）,快速抗HIV抗体,exact,否,安全可改
84,北京市,内分泌,B12,维生素B12,exact,否,安全可改
86,北京市,感染性疾病血清学标志物系列B,HEV-IgM,戊肝抗体IgM抗体,exact,否,安全可改
86,北京市,感染性疾病血清学标志物系列B,HAV-IgM,抗精子抗体IgM,substring,否,安全可改
88,北京市,肝炎标志物,HBeAg,乙型肝炎病毒e抗原,exact,否,安全可改
88,北京市,肝炎标志物,HBeAb,乙型肝炎病毒e抗体,exact,否,安全可改
90,北京市,感染性疾病血清学标志物系列C,梅毒特异性抗体,梅毒特异性抗体（仅孕妇）,substring,否,安全可改
94,北京市,肿瘤标志物A,β2微球蛋白,β2-微球蛋白,exact,否,安全可改
104,卫健委,血清蛋白电泳,血清蛋白电泳-清蛋白,血清蛋白电泳-白蛋白,exact,否,安全可改
104,卫健委,血清蛋白电泳,血清蛋白电泳-β球蛋白,血清蛋白电泳-β1球蛋白,exact,否,安全可改
104,卫健委,血清蛋白电泳,M蛋白,血清蛋白电泳-M蛋白,exact,否,安全可改
104,卫健委,血清蛋白电泳,M蛋白定性,血清蛋白电泳-M蛋白定性,exact,否,安全可改
105,卫健委,血清蛋白电泳,血清蛋白电泳-清蛋白,血清蛋白电泳-白蛋白,exact,否,安全可改
105,卫健委,血清蛋白电泳,血清蛋白电泳-β球蛋白,血清蛋白电泳-β1球蛋白,exact,否,安全可改
105,卫健委,血清蛋白电泳,M蛋白,血清蛋白电泳-M蛋白,exact,否,安全可改
105,卫健委,血清蛋白电泳,M蛋白定性,血清蛋白电泳-M蛋白定性,exact,否,安全可改
110,卫健委,骨代谢标志物,VD,维生素D,exact,否,安全可改
